loss,params,iteration,estimators,train_time
0.19418899730476757,"{'feature_fraction': 0.5150860680807021, 'lambda_l1': 0.20550492418921243, 'num_leaves': 68, 'max_bin': 253, 'min_data_in_leaf': 440, 'subsample': 0.9510291026557708, 'subsample_for_bin': 60000, 'verbosity': 0, 'learning_rate': 0.13389357410276748, 'bagging_freq': 1, 'lambda_l2': 0.865204308471341, 'boosting_type': 'gbdt'}",26,134,18.125488196000106
0.19062929297598707,"{'feature_fraction': 0.7240487591127239, 'lambda_l1': 0.38294876318419485, 'num_leaves': 36, 'max_bin': 253, 'min_data_in_leaf': 360, 'subsample': 0.9450781661854656, 'subsample_for_bin': 100000, 'verbosity': 0, 'learning_rate': 0.060471277027253925, 'bagging_freq': 2, 'lambda_l2': 0.6468272469205274, 'boosting_type': 'gbdt'}",27,606,40.26576210600001
0.19048314332776217,"{'feature_fraction': 0.7827067495687632, 'lambda_l1': 0.14102665986680954, 'num_leaves': 76, 'max_bin': 253, 'min_data_in_leaf': 290, 'subsample': 0.993499350207206, 'subsample_for_bin': 40000, 'verbosity': 0, 'learning_rate': 0.06684075202042895, 'bagging_freq': 1, 'lambda_l2': 0.5155418562520463, 'boosting_type': 'gbdt'}",28,250,32.75094341499994
0.19058301867815375,"{'feature_fraction': 0.6765444672704781, 'lambda_l1': 0.33066568956966985, 'num_leaves': 48, 'max_bin': 253, 'min_data_in_leaf': 470, 'subsample': 0.7662143247194322, 'subsample_for_bin': 80000, 'verbosity': 0, 'learning_rate': 0.05033776391360483, 'bagging_freq': 3, 'lambda_l2': 0.3383802489849882, 'boosting_type': 'gbdt'}",29,468,37.59682120000002
0.2417618117288104,"{'feature_fraction': 0.9546475449269102, 'lambda_l1': 0.4713460996052901, 'num_leaves': 20, 'max_bin': 253, 'min_data_in_leaf': 420, 'subsample': 1.0, 'subsample_for_bin': 140000, 'verbosity': 0, 'learning_rate': 0.07843481654467405, 'bagging_freq': 4, 'lambda_l2': 0.6208939297013245, 'boosting_type': 'goss'}",30,12,5.254159073999972
0.19067655436566433,"{'feature_fraction': 0.48640103562384407, 'lambda_l1': 0.15213037106325084, 'num_leaves': 44, 'max_bin': 253, 'min_data_in_leaf': 310, 'subsample': 0.9285481796240829, 'subsample_for_bin': 60000, 'verbosity': 0, 'learning_rate': 0.05813936550230732, 'bagging_freq': 2, 'lambda_l2': 0.06515446226378602, 'boosting_type': 'gbdt'}",31,577,36.331596623999985
0.19168939358283377,"{'feature_fraction': 0.5384857579963288, 'lambda_l1': 0.3978397420699812, 'num_leaves': 84, 'max_bin': 253, 'min_data_in_leaf': 460, 'subsample': 0.994834517066375, 'subsample_for_bin': 120000, 'verbosity': 0, 'learning_rate': 0.08899316217030726, 'bagging_freq': 3, 'lambda_l2': 0.80345416799887, 'boosting_type': 'gbdt'}",32,214,27.066968296999903
0.22246812983989483,"{'feature_fraction': 0.9979412177650064, 'lambda_l1': 0.2668136202909317, 'num_leaves': 108, 'max_bin': 253, 'min_data_in_leaf': 360, 'subsample': 1.0, 'subsample_for_bin': 100000, 'verbosity': 0, 'learning_rate': 0.12716466308473387, 'bagging_freq': 2, 'lambda_l2': 0.572767337809454, 'boosting_type': 'goss'}",33,7,6.153080943000077
0.1904948748706473,"{'feature_fraction': 0.6420776193501831, 'lambda_l1': 0.1178761074954156, 'num_leaves': 72, 'max_bin': 253, 'min_data_in_leaf': 270, 'subsample': 0.8052404730743032, 'subsample_for_bin': 20000, 'verbosity': 0, 'learning_rate': 0.06514230107699222, 'bagging_freq': 3, 'lambda_l2': 0.6866864722660134, 'boosting_type': 'gbdt'}",34,289,29.787770293999984
0.1931278844920149,"{'feature_fraction': 0.4093298967099861, 'lambda_l1': 0.014971454296708542, 'num_leaves': 20, 'max_bin': 253, 'min_data_in_leaf': 490, 'subsample': 0.7018829012078398, 'subsample_for_bin': 140000, 'verbosity': 0, 'learning_rate': 0.055017376891370644, 'bagging_freq': 1, 'lambda_l2': 0.38688755875574216, 'boosting_type': 'gbdt'}",35,1019,44.240299636000145
